ID	Task Allocated
1	789
2	29
3	608
4	402
5	521
6	973
7	436
8	456
9	330
10	842
11	73
12	555
13	329
14	527
15	981
16	737
17	140
18	312
19	626
20	1
21	309
22	165
23	124
24	577
25	425
26	139
27	896
28	529
29	227
30	501
31	796
32	635
33	847
34	271
35	352
36	862
37	149
38	20
39	835
40	771
41	630
42	399
43	14
44	4
45	759
46	694
47	822
48	268
49	18
50	506
51	190
52	358
53	709
54	7
55	155
56	234
57	226
58	756
59	519
60	629
61	432
63	267
66	464
67	603
69	446
70	102
74	636
78	387
81	574
85	223
86	495
88	578
89	772
90	542
93	471
96	322
101	602
